@relation churn


@attribute State{KS,OH,NJ,OK,AL,MA,MO,LA,WV,IN,RI,IA,MT,NY,ID,VT,VA,TX,FL,CO,AZ,SC,NE,WY,HI,IL,NH,GA,AK,MD,AR,WI,OR,MI,DE,UT,CA,MN,SD,NC,WA,NM,NV,DC,KY,ME,MS,TN,PA}
@attribute AccountLength numeric
@attribute AreaCode numeric
@attribute Phone numeric
@attribute IntlPlan {yes,no}
@attribute VMailPlan {yes,no}
@attribute VMailMessage numeric
@attribute DayMins numeric
@attribute DayCalls numeric
@attribute DayCharge numeric
@attribute EveMins numeric
@attribute EveCalls numeric
@attribute EveCharge numeric
@attribute NightMins numeric
@attribute NightCalls numeric
@attribute NightCharge numeric
@attribute IntlMins numeric
@attribute IntlCalls numeric
@attribute IntlCharge numeric 
@attribute CustServCalls numeric
@attribute Churn{True.,False.}

@data
KS,128,415,3824657,no,yes,25,265.100000,110,45.070000,197.400000,99,16.780000,244.700000,91,11.010000,10.000000,3,2.700000,1,False.
OH,107,415,3717191,no,yes,26,161.600000,123,27.470000,195.500000,103,16.620000,254.400000,103,11.450000,13.700000,3,3.700000,1,False.
NJ,137,415,3581921,no,no,0,243.400000,114,41.380000,121.200000,110,10.300000,162.600000,104,7.320000,12.200000,5,3.290000,0,False.
OH,84,408,3759999,yes,no,0,299.400000,71,50.900000,61.900000,88,5.260000,196.900000,89,8.860000,6.600000,7,1.780000,2,False.
OK,75,415,3306626,yes,no,0,166.700000,113,28.340000,148.300000,122,12.610000,186.900000,121,8.410000,10.100000,3,2.730000,3,False.
AL,118,510,3918027,yes,no,0,223.400000,98,37.980000,220.600000,101,18.750000,203.900000,118,9.180000,6.300000,6,1.700000,0,False.
MA,121,510,3559993,no,yes,24,218.200000,88,37.090000,348.500000,108,29.620000,212.600000,118,9.570000,7.500000,7,2.030000,3,False.
MO,147,415,3299001,yes,no,0,157.000000,79,26.690000,103.100000,94,8.760000,211.800000,96,9.530000,7.100000,6,1.920000,0,False.
LA,117,408,3354719,no,no,0,184.500000,97,31.370000,351.600000,80,29.890000,215.800000,90,9.710000,8.700000,4,2.350000,1,False.
WV,141,415,3308173,yes,yes,37,258.600000,84,43.960000,222.000000,111,18.870000,326.400000,97,14.690000,11.200000,5,3.020000,0,False.
